"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"H1","HDR1X12","17540mil","13003mil","17540mil","13553mil","17540mil","13553mil","T","270.00","SparkIO Header 1"
"C13","0603_-_NO_SILK","17815mil","13303mil","17815mil","13303mil","17815mil","13336mil","T","270.00","Capacitor"
"C12","0603_-_NO_SILK","18015mil","13303mil","18015mil","13303mil","18015mil","13336mil","T","270.00","Capacitor"
"C11","0603_-_NO_SILK","17356.926mil","11716.777mil","17356.926mil","11716.777mil","17323.926mil","11716.777mil","T","360.00","Capacitor"
"C10","0603_-_NO_SILK","17356.929mil","11909.675mil","17356.929mil","11909.675mil","17323.929mil","11909.675mil","T","360.00","Capacitor"
"C9","0603_-_NO_SILK","18230mil","11633mil","18230mil","11633mil","18197mil","11633mil","T","360.00","Capacitor"
"C8","0603_-_NO_SILK","18115mil","13303mil","18115mil","13303mil","18115mil","13336mil","T","270.00","Capacitor"
"C7","0603_-_NO_SILK","17915mil","13303mil","17915mil","13303mil","17915mil","13336mil","T","270.00","Capacitor"
"C6","0603_-_NO_SILK","18850mil","11833mil","18850mil","11833mil","18850mil","11866mil","T","270.00","Capacitor"
"C5","0603_-_NO_SILK","18850mil","11673mil","18850mil","11673mil","18850mil","11706mil","T","270.00","Capacitor"
"C4","0603_-_NO_SILK","18470mil","11673mil","18470mil","11673mil","18470mil","11706mil","T","270.00","Capacitor"
"C3","0603_-_NO_SILK","17934.25mil","11833.003mil","17934.25mil","11833.003mil","17934.25mil","11866.003mil","T","270.00","Capacitor"
"C2","0603_-_NO_SILK","17934.25mil","11673.003mil","17934.25mil","11673.003mil","17934.25mil","11706.003mil","T","270.00","Capacitor"
"C1","0603_-_NO_SILK","17554.25mil","11673.003mil","17554.25mil","11673.003mil","17554.25mil","11706.003mil","T","270.00","Capacitor"
"DS1","LED0603_-_Single","18340mil","15543mil","18340mil","15543mil","18340mil","15576mil","T","270.00","PowerInd"
"J2","PCC-SMP_K_Thermocouple","18666.378mil","14560.795mil","18666.378mil","14826.543mil","18396.693mil","14826.543mil","T","0.00","Thermocouple B"
"J1","PCC-SMP_K_Thermocouple","17839.606mil","14560.795mil","17839.606mil","14826.543mil","17569.921mil","14826.543mil","T","0.00","Thermocouple A"
"J4","Audio_Jack_2.5mm_Mono","17125.827mil","14394.496mil","17240mil","14363mil","17149.449mil","14264.575mil","T","270.00","Thermistor B"
"J3","Audio_Jack_2.5mm_Mono","17125.827mil","14784.496mil","17240mil","14753mil","17149.449mil","14654.575mil","T","270.00","Thermistor A"
"U2","SOIC8","18710mil","15150.008mil","18710mil","15150.008mil","18635mil","15057.488mil","T","90.00","OPAMP dual"
"U1","SOIC8","17787.793mil","15150.011mil","17787.793mil","15150.011mil","17712.793mil","15057.491mil","T","90.00","OPAMP dual"
"TB2","Terminal_Block_3.5mm_x_12","18900mil","16267.173mil","18900mil","15403mil","18900mil","15509.299mil","T","90.00","SparkIO Terminal Block 2"
"TB1","Terminal_Block_3.5mm_x_12","16970mil","16238.827mil","16970mil","17103mil","16970mil","16996.701mil","T","270.00","SparkIO Terminal Block 1"
"U3","SOT23-3L","18230mil","15153mil","18230mil","15153mil","18267.402mil","15196.307mil","T","270.00","Header 3"
"R19","0603_-_NO_SILK","18340mil","15693mil","18340mil","15693mil","18340mil","15726mil","T","270.00","Resistor"
"R18","0603_-_NO_SILK","18790mil","14973mil","18790mil","14973mil","18823mil","14973mil","T","180.00","Resistor"
"R17","0603_-_NO_SILK","17356.926mil","15036.777mil","17356.926mil","15036.777mil","17323.926mil","15036.777mil","T","360.00","Resistor"
"R4","0603_-_NO_SILK","17356.929mil","15229.675mil","17356.929mil","15229.675mil","17323.929mil","15229.675mil","T","360.00","Resistor"
"R15","0603_-_NO_SILK","18790mil","15333mil","18790mil","15333mil","18823mil","15333mil","T","180.00","Resistor"
"R14","0603_-_NO_SILK","18970mil","15073mil","18970mil","15073mil","18970mil","15106mil","T","270.00","Resistor"
"R9","0603_-_NO_SILK","18550mil","15073mil","18550mil","15073mil","18550mil","15106mil","T","270.00","Resistor"
"R12","0603_-_NO_SILK","18390mil","15073mil","18390mil","15073mil","18390mil","15106mil","T","270.00","Resistor"
"R11","0603_-_NO_SILK","18970mil","15233mil","18970mil","15233mil","18970mil","15200mil","T","90.00","Resistor"
"R10","0603_-_NO_SILK","18650mil","15333mil","18650mil","15333mil","18617mil","15333mil","T","360.00","Resistor"
"R13","0603_-_NO_SILK","18650mil","14973mil","18650mil","14973mil","18617mil","14973mil","T","360.00","Resistor"
"R8","0603_-_NO_SILK","17874.25mil","14973.003mil","17874.25mil","14973.003mil","17907.25mil","14973.003mil","T","180.00","Resistor"
